time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-02-11 00:00:00+00:00,2,2,1.0,1.0
2022-02-12 00:00:00+00:00,2,2,5.0,3.0
2022-02-13 00:00:00+00:00,2,2,20.0,8.0
2022-02-14 00:00:00+00:00,1,1,12.0,8.0
2022-02-15 00:00:00+00:00,1,1,9.0,2.0
2022-02-16 00:00:00+00:00,1,1,8.0,5.0
2022-02-17 00:00:00+00:00,3,3,7.0,5.0
2022-02-18 00:00:00+00:00,1,1,16.0,8.0
2022-02-19 00:00:00+00:00,2,2,2.0,2.0
2022-02-20 00:00:00+00:00,1,1,3.0,3.0
2022-02-21 00:00:00+00:00,1,1,3.0,2.0
2022-02-22 00:00:00+00:00,1,1,2.0,2.0
2022-02-23 00:00:00+00:00,2,2,9.0,3.0
2022-02-24 00:00:00+00:00,1,1,,
