time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-01-13 00:00:00+00:00,1,1,1,1
2022-01-15 00:00:00+00:00,1,1,0,0
2022-01-17 00:00:00+00:00,0,0,4,3
2022-01-18 00:00:00+00:00,0,0,5,2
2022-01-19 00:00:00+00:00,0,0,12,3
2022-01-20 00:00:00+00:00,1,1,1,1
2022-01-21 00:00:00+00:00,0,0,13,2
2022-01-22 00:00:00+00:00,3,2,14,5
2022-01-24 00:00:00+00:00,2,2,1,1
2022-01-25 00:00:00+00:00,0,0,2,2
2022-01-26 00:00:00+00:00,3,3,1,1
2022-01-27 00:00:00+00:00,3,2,2,2
2022-01-28 00:00:00+00:00,3,3,4,4
2022-01-29 00:00:00+00:00,1,1,0,0
2022-01-30 00:00:00+00:00,1,1,0,0
2022-01-31 00:00:00+00:00,1,1,10,1
2022-02-01 00:00:00+00:00,2,2,0,0
2022-02-02 00:00:00+00:00,1,1,0,0
2022-02-03 00:00:00+00:00,2,2,3,3
2022-02-04 00:00:00+00:00,3,3,11,3
2022-02-05 00:00:00+00:00,1,1,6,5
2022-02-06 00:00:00+00:00,2,2,2,1
2022-02-07 00:00:00+00:00,2,2,13,6
2022-02-08 00:00:00+00:00,1,1,7,4
2022-02-09 00:00:00+00:00,1,1,9,5
2022-02-10 00:00:00+00:00,2,2,1,1
2022-02-11 00:00:00+00:00,2,2,1,1
2022-02-12 00:00:00+00:00,2,2,5,3
2022-02-13 00:00:00+00:00,2,2,20,8
2022-02-14 00:00:00+00:00,1,1,12,8
2022-02-15 00:00:00+00:00,1,1,9,2
2022-02-16 00:00:00+00:00,1,1,8,5
2022-02-17 00:00:00+00:00,3,3,7,5
2022-02-18 00:00:00+00:00,1,1,16,8
2022-02-19 00:00:00+00:00,2,2,2,2
2022-02-20 00:00:00+00:00,1,1,3,3
2022-02-21 00:00:00+00:00,1,1,3,2
2022-02-22 00:00:00+00:00,1,1,2,2
2022-02-23 00:00:00+00:00,2,2,9,3
2022-02-24 00:00:00+00:00,3,3,0,0
2022-02-25 00:00:00+00:00,1,1,5,3
2022-02-26 00:00:00+00:00,1,1,2,2
2022-02-27 00:00:00+00:00,3,3,5,2
2022-02-28 00:00:00+00:00,3,3,11,5
2022-03-01 00:00:00+00:00,1,1,6,6
2022-03-02 00:00:00+00:00,2,2,16,6
2022-03-03 00:00:00+00:00,1,1,4,2
2022-03-04 00:00:00+00:00,1,1,7,3
2022-03-05 00:00:00+00:00,2,2,0,0
2022-03-06 00:00:00+00:00,3,3,0,0
2022-03-07 00:00:00+00:00,1,1,6,3
2022-03-08 00:00:00+00:00,9,2,3,3
2022-03-09 00:00:00+00:00,4,2,7,2
2022-03-10 00:00:00+00:00,1,1,4,4
2022-03-11 00:00:00+00:00,3,3,9,5
2022-03-12 00:00:00+00:00,1,1,3,1
2022-03-13 00:00:00+00:00,2,2,2,2
2022-03-14 00:00:00+00:00,2,2,3,2
2022-03-15 00:00:00+00:00,4,2,5,3
2022-03-16 00:00:00+00:00,4,2,6,4
2022-03-17 00:00:00+00:00,4,2,3,3
2022-03-18 00:00:00+00:00,5,3,3,3
2022-03-19 00:00:00+00:00,4,2,7,2
2022-03-20 00:00:00+00:00,4,2,4,3
2022-03-21 00:00:00+00:00,4,2,5,3
2022-03-22 00:00:00+00:00,6,3,11,5
2022-03-23 00:00:00+00:00,136,3,17,9
2022-03-24 00:00:00+00:00,4,2,2,1
2022-03-25 00:00:00+00:00,4,2,4,2
2022-03-26 00:00:00+00:00,5,3,4,4
2022-03-27 00:00:00+00:00,4,2,2,2
2022-03-28 00:00:00+00:00,4,2,3,2
2022-03-29 00:00:00+00:00,5,2,5,2
2022-03-30 00:00:00+00:00,4,2,11,4
2022-03-31 00:00:00+00:00,4,2,2,2
2022-04-01 00:00:00+00:00,4,2,4,4
2022-04-02 00:00:00+00:00,4,2,2,2
2022-04-03 00:00:00+00:00,3,3,4,4
2022-04-04 00:00:00+00:00,2,2,2,2
2022-04-05 00:00:00+00:00,2,2,1,1
2022-04-06 00:00:00+00:00,10,2,1,1
2022-04-07 00:00:00+00:00,4,3,0,0
2022-04-08 00:00:00+00:00,1,1,2,2
2022-04-09 00:00:00+00:00,2,2,0,0
2022-04-10 00:00:00+00:00,2,2,3,2
2022-04-11 00:00:00+00:00,2,2,1,1
2022-04-12 00:00:00+00:00,1,1,5,3
2022-04-13 00:00:00+00:00,1,1,2,2
2022-04-14 00:00:00+00:00,1,1,4,4
2022-04-15 00:00:00+00:00,1,1,1,1
2022-04-16 00:00:00+00:00,1,1,1,1
2022-04-17 00:00:00+00:00,2,2,3,1
2022-04-18 00:00:00+00:00,1,1,10,5
2022-04-19 00:00:00+00:00,1,1,1,1
2022-04-20 00:00:00+00:00,2,2,5,3
2022-04-21 00:00:00+00:00,1,1,33,7
2022-04-22 00:00:00+00:00,1,1,9,3
2022-04-23 00:00:00+00:00,1,1,2,2
2022-04-24 00:00:00+00:00,1,1,9,2
2022-04-25 00:00:00+00:00,1,1,3,3
2022-04-26 00:00:00+00:00,2,2,3,2
2022-04-27 00:00:00+00:00,1,1,10,3
2022-04-28 00:00:00+00:00,1,1,0,0
2022-04-29 00:00:00+00:00,1,1,1,1
2022-04-30 00:00:00+00:00,1,1,6,3
2022-05-01 00:00:00+00:00,3,3,0,0
2022-05-02 00:00:00+00:00,0,0,3,3
